categoryId,categoryName,path,assignedProductCount,levelDepth,trustClass,reason
1,Raíz,Raíz,0,0,NAVIGATION,navigation/root/container
2,CATEGORÍAS,Raíz > CATEGORÍAS,1554,1,NAVIGATION,navigation/root/container
8,Test,Raíz > CATEGORÍAS > Test,99,2,UNKNOWN,test/empty/no current assignment
18,ITEM PAR,Raíz > CATEGORÍAS > ITEM PAR,0,2,UNKNOWN,test/empty/no current assignment
60,Obelix Cardiovascular,Raíz > CATEGORÍAS > Test > Obelix Cardiovascular,8,3,LEGACY,"brand/collection/series, not independent semantics"
61,Obelix MO Series,Raíz > CATEGORÍAS > Test > Obelix MO Series,33,3,LEGACY,"brand/collection/series, not independent semantics"
62,Obelix T8 Series,Raíz > CATEGORÍAS > Test > Obelix T8 Series,8,3,LEGACY,"brand/collection/series, not independent semantics"
63,Obelix V8 Series,Raíz > CATEGORÍAS > Test > Obelix V8 Series,33,3,LEGACY,"brand/collection/series, not independent semantics"
64,Mancuernas Hexagonales,Raíz > CATEGORÍAS > POR DEPORTE > CrossFit HWM® > Mancuernas Hexagonales,43,4,SEMANTIC_STRONG,discipline/sport evidence
65,Kettlebells,Raíz > CATEGORÍAS > POR DEPORTE > CrossFit HWM® > Kettlebells,12,4,SEMANTIC_STRONG,discipline/sport evidence
66,Bumper Plates,Raíz > CATEGORÍAS > POR DEPORTE > CrossFit HWM® > Bumper Plates,65,4,SEMANTIC_STRONG,discipline/sport evidence
67,Barras Olímpicas,Raíz > CATEGORÍAS > POR DEPORTE > CrossFit HWM® > Barras Olímpicas,26,4,SEMANTIC_STRONG,discipline/sport evidence
68,Power Racks y Bancos,Raíz > CATEGORÍAS > POR DEPORTE > CrossFit HWM® > Power Racks y Bancos,19,4,SEMANTIC_STRONG,discipline/sport evidence
69,Gimnasia y Acondicionamiento,Raíz > CATEGORÍAS > POR DEPORTE > CrossFit HWM® > Gimnasia y Acondicionamiento,79,4,SEMANTIC_STRONG,discipline/sport evidence
143,Accesorios y Complementos,Raíz > CATEGORÍAS > POR DEPORTE > CrossFit HWM® > Accesorios y Complementos,155,4,SEMANTIC_STRONG,discipline/sport evidence
248,FUERZA,Raíz > CATEGORÍAS > FUERZA,309,2,SEMANTIC_WEAK,broad or mixed commercial grouping
249,Barras Hombre 20 kg,Raíz > CATEGORÍAS > FUERZA > Barras > Barras Hombre 20 kg,10,4,SEMANTIC_STRONG,functional product family/subfamily
250,Barras Mujer 15 kg,Raíz > CATEGORÍAS > FUERZA > Barras > Barras Mujer 15 kg,7,4,SEMANTIC_STRONG,functional product family/subfamily
251,Barras Técnicas,Raíz > CATEGORÍAS > FUERZA > Barras > Barras Técnicas,2,4,SEMANTIC_STRONG,functional product family/subfamily
252,Barras Junior,Raíz > CATEGORÍAS > FUERZA > Barras > Barras Junior,2,4,SEMANTIC_STRONG,functional product family/subfamily
253,Barras Especiales,Raíz > CATEGORÍAS > FUERZA > Barras > Barras Especiales,16,4,SEMANTIC_STRONG,functional product family/subfamily
254,Barras Powerlifting,Raíz > CATEGORÍAS > FUERZA > Barras > Barras Powerlifting,3,4,SEMANTIC_STRONG,discipline/sport evidence
255,Barras Preolímpicas,Raíz > CATEGORÍAS > FUERZA > Barras > Barras Preolímpicas,5,4,SEMANTIC_STRONG,functional product family/subfamily
256,Barras de Peso Fijo,Raíz > CATEGORÍAS > FUERZA > Barras > Barras de Peso Fijo,12,4,SEMANTIC_STRONG,functional product family/subfamily
258,Barras,Raíz > CATEGORÍAS > FUERZA > Barras,64,3,SEMANTIC_STRONG,functional product family/subfamily
259,Discos,Raíz > CATEGORÍAS > FUERZA > Discos,107,3,SEMANTIC_STRONG,functional product family/subfamily
260,Discos Bumper,Raíz > CATEGORÍAS > FUERZA > Discos > Discos Bumper,35,4,SEMANTIC_STRONG,functional product family/subfamily
261,Discos de Competición,Raíz > CATEGORÍAS > FUERZA > Discos > Discos de Competición,13,4,SEMANTIC_STRONG,functional product family/subfamily
262,Discos Fraccionados,Raíz > CATEGORÍAS > FUERZA > Discos > Discos Fraccionados,18,4,SEMANTIC_STRONG,functional product family/subfamily
263,Discos Con Agarre,Raíz > CATEGORÍAS > FUERZA > Discos > Discos Con Agarre,22,4,SEMANTIC_STRONG,functional product family/subfamily
264,Discos de Acero,Raíz > CATEGORÍAS > FUERZA > Discos > Discos de Acero,36,4,SEMANTIC_STRONG,functional product family/subfamily
265,Discos de Powerlifting,Raíz > CATEGORÍAS > FUERZA > Discos > Discos de Powerlifting,21,4,SEMANTIC_STRONG,discipline/sport evidence
266,Discos Preolímpicos,Raíz > CATEGORÍAS > FUERZA > Discos > Discos Preolímpicos,8,4,SEMANTIC_STRONG,functional product family/subfamily
267,Mancuernas,Raíz > CATEGORÍAS > FUERZA > Mancuernas,110,3,SEMANTIC_STRONG,functional product family/subfamily
268,Mancuernas Hexagonales,Raíz > CATEGORÍAS > FUERZA > Mancuernas > Mancuernas Hexagonales,50,4,SEMANTIC_STRONG,functional product family/subfamily
269,Mancuernas Pu,Raíz > CATEGORÍAS > FUERZA > Mancuernas > Mancuernas Pu,22,4,SEMANTIC_STRONG,functional product family/subfamily
270,Mancuernas de Acero,Raíz > CATEGORÍAS > FUERZA > Mancuernas > Mancuernas de Acero,21,4,SEMANTIC_STRONG,functional product family/subfamily
271,Mancuernas de Neopreno,Raíz > CATEGORÍAS > FUERZA > Mancuernas > Mancuernas de Neopreno,5,4,SEMANTIC_STRONG,functional product family/subfamily
272,Mancuernas Ajustables,Raíz > CATEGORÍAS > FUERZA > Mancuernas > Mancuernas Ajustables,10,4,SEMANTIC_STRONG,functional product family/subfamily
273,Set de Mancuernas,Raíz > CATEGORÍAS > FUERZA > Mancuernas > Set de Mancuernas,19,4,SEMANTIC_STRONG,functional product family/subfamily
274,Set de Barras,Raíz > CATEGORÍAS > FUERZA > Barras > Set de Barras,2,4,SEMANTIC_STRONG,functional product family/subfamily
275,Accesorios para Barras,Raíz > CATEGORÍAS > ACCESORIOS > Accesorios para Barras,21,3,SEMANTIC_STRONG,functional product family/subfamily
276,Kettlebells,Raíz > CATEGORÍAS > FUERZA > Kettlebells,28,3,SEMANTIC_STRONG,functional product family/subfamily
277,Kettlebells de Acero,Raíz > CATEGORÍAS > FUERZA > Kettlebells > Kettlebells de Acero,10,4,SEMANTIC_STRONG,functional product family/subfamily
