productId,productName,population,reason,commercialPriorityScore,revenue,units,categoryCount,featureCount,relationshipCount
176,Crossover Lat Pulldown ZR Series | PROmachine,current_active,high_revenue_current_active,72.84,95687805.000000,186,10,27,7
1427,Polea de Muro 1.0 ZR Series | PROmachine,current_active,high_revenue_current_active,72,107054339.500000,672,10,17,4
29,Barra Olímpica 15kg 220cm Eco Serie | PROmachine,current_active,high_revenue_current_active,70.5,70996624.375000,1681,9,17,17
252,Power Rack Hell Series | HWM®,current_inactive,high_revenue_current_inactive,70,112972746.500000,285,4,17,12
679,Bicicleta de Spinning SP9 | Obelix,current_active,high_revenue_current_active,68.96,95919644.500000,194,6,15,13
319,Palmeta de Caucho 100x100cm 15mm (Unidad),current_active,high_revenue_current_active,66,115669293.500000,5254,3,9,8
32,Barra Olímpica 20kg Training | HWM®,current_active,high_revenue_current_active,63.04,70077693.499800,586,5,20,32
534,Polea de Muro 2.0 ZR Series | PROmachine,current_inactive,high_revenue_current_inactive,63,113925554.500000,594,5,17,5
1237,Trotadora Comercial S1 Series LED | Obelix®,current_active,high_revenue_current_active,62,105949473.000000,60,6,21,4
723,Pack 10 Palmetas de Caucho 100x100cm 15mm,current_active,high_revenue_current_active,61,121362549.000000,542,5,9,3
33,Barra Olímpica 15kg Training | HWM®,current_active,high_revenue_current_active,59.27,42538917.999500,392,9,20,28
638,Banco Regulable Amarillo Flúor | KONG,current_active,high_revenue_current_active,58.93,75856322.500300,309,9,13,3
212,Banco Regulable Hell | HWM,current_inactive,high_revenue_current_inactive,56.7,73403905.500000,449,8,12,12
1543,Power Rack Alpha | HWM®,current_active,high_revenue_current_active,55.8,43590098.000000,136,10,21,16
1504,Dual Cuádriceps / Femoral Sentado MO 2.0 | Obelix®,current_active,high_revenue_current_active,55.41,74825638.000000,60,6,11,10
31,Barra Olímpica 20kg Classic Serie | PROmachine,current_active,high_revenue_current_active,55.09,56189727.790000,698,4,19,19
1273,Prensa Inclinada 45° Lineal MO 2.0 | Obelix®,current_active,high_revenue_current_active,54.39,52789198.000000,41,5,16,23
1505,Dual Abductor / Aductor MO 2.0 | Obelix®,current_active,high_revenue_current_active,51.78,61567529.000000,51,6,11,13
1238,Trotadora Comercial S1 Series TFT Touch | Obelix®,current_active,high_revenue_current_active,51.74,75488526.000000,34,6,21,6
1338,Banco Regulable Negro | KONG,current_active,high_revenue_current_active,51.2,68393606.500000,263,7,14,9
1581,Cinturón de Levantamiento Iconlift™ 1.0 Negro | HWM®,current_active,coverage_remo,51.04,12079541.299600,1000,14,7,19
1125,Cajón Hip Thrust Acolchado | FullFit,current_active,high_revenue_current_active,49.89,73779695.200000,571,6,7,5
824,Par Bumper Plates Eco 10kg | HWM®,current_active,high_revenue_current_active,49.03,42065873.500000,904,5,12,23
1586,Cinturón de Levantamiento Iconlift™ 1.0 Magenta | HWM®,current_active,coverage_remo,49.01,8011110.699300,681,14,7,19
1585,Cinturón de Levantamiento Iconlift™ 1.0 Coral | HWM®,current_active,coverage_remo,48.94,5877397.498600,577,14,7,20
1584,Cinturón de Levantamiento Iconlift™ 1.0 Turquesa | HWM®,current_active,coverage_remo,48.87,7735156.450000,665,14,7,19
1595,Par Muñequeras Elásticas Fight 2.0 Magenta | HWM®,current_active,coverage_barra,48.8,5607822.500000,583,13,9,20
1609,Par Calleras Black Widow Sin Orificios | HWM®,current_active,coverage_barra,48.57,5147573.000000,508,14,6,21
1577,2da Selección - Palmeta De Caucho 100x100cm 15mm (Unidad),historical_only,historical_high_revenue,48.21,24420495.000000,1401,0,0,9
1601,Par Calleras Essentials Sin Orificios Negro/Rojo | HWM®,current_active,coverage_barra,48.12,4248356.000000,381,11,6,22
7,Pack 4 Bandas de Resistencia | HWM®,current_active,high_revenue_current_active,48.03,36058036.800000,1155,9,14,12
1605,Par Calleras Essentials Sin Orificios Blanco/Negro | HWM®,current_active,coverage_barra,47.26,4514871.000000,432,14,6,19
1613,Par Calleras Stone 2.0 Sin Orificios Negro | HWM®,current_active,coverage_kettlebell,46.69,3380072.000000,370,13,6,19
366,Set 20kg Maletín Cast Iron,current_active,high_revenue_current_active,46.65,47309160.000000,1329,10,7,5
1583,Cinturón de Levantamiento Iconlift™ 1.0 Blanco | HWM®,current_active,coverage_cinturon,46.57,5140539.000000,539,14,7,18
1538,Power Rack Delta | HWM®,current_active,coverage_rack,46.52,17036833.500000,74,11,18,21
1198,Piso de Caucho Interlock 100x100cm x 15mm (Unidad) Sin Bordes,current_active,high_revenue_current_active,46.35,68709024.000000,3007,4,9,4
816,Cinturón de Levantamiento Heavy Duty | HWM,current_active,high_revenue_current_active,45.79,35582902.000000,1054,9,5,2
1612,Par Calleras Stone 2.0 Sin Orificios Turquesa | HWM®,current_active,coverage_kettlebell,45.78,3569165.500000,396,13,6,18
779,Airbike Hurricane 3.0 | HWM®,current_inactive,high_revenue_current_inactive,44.34,58677592.000000,76,5,19,7
1582,Cinturón de Levantamiento Iconlift™ 1.0 Gris | HWM®,current_active,coverage_cinturon,44.33,8655960.499100,743,14,7,14
230,Par Mancuernas Hexagonales 15kg | HWM®,current_active,high_revenue_current_active,43.94,39874342.000000,664,4,11,16
2084,Máquina Home Gym ULTRA FZ410 68kg - 2da Selección | Forza,historical_only,historical_high_revenue,43.94,15886055.000000,89,0,0,1
1594,Par Muñequeras Elásticas Fight 2.0 Negro | HWM®,current_active,coverage_cuerda,43.88,7764361.000100,838,11,8,14
1517,Polea Cruzada Corta MO 2.0 | Obelix®,current_active,high_revenue_current_active,43.86,51724165.000000,26,5,12,10
901,Trineo Multifuncional 3.0 Power Sled | HWM®,current_active,coverage_disco,43.75,19507127.000000,100,14,14,16
232,Par Mancuernas Hexagonales 20kg | HWM®,current_active,high_revenue_current_active,43.68,37368052.000000,471,4,11,17
228,Par Mancuernas Hexagonales 10kg | HWM®,current_active,high_revenue_current_active,43.64,37282041.500000,926,4,11,17
1862,Jaula Smith Machine ZR Series | PROmachine,current_active,coverage_disco,43.54,33081423.000000,61,6,25,19
1602,Par Calleras Essentials Sin Orificios Rosado/Negro | HWM®,current_active,coverage_cuerda,43.42,4841866.200000,434,14,6,15
1596,Par Muñequeras Elásticas Fight 2.0 Turquesa | HWM®,current_active,coverage_cuerda,43.33,4665978.500000,460,13,9,15
818,Cinturón de Levantamiento Straight Black | HWM,current_active,coverage_cinturon,43.02,20045777.000000,1926,9,5,7
35,Barra Olímpica Z 6.5kg | PROmachine,current_active,coverage_disco,42.99,29985965.400000,892,4,15,21
823,Par Bumper Plates Eco 5kg | HWM®,current_active,coverage_disco,42.55,33099471.000000,1399,7,12,18
57,Balón Medicinal 5kg Color Series | HWM®,current_active,coverage_banco,42.55,29094890.100000,936,6,11,23
1971,Palmeta de Caucho 100x100cm 15mm (Unidad) - 2da Selección,historical_only,historical_high_revenue,42.5,15009225.000000,825,0,0,8
229,Par Mancuernas Hexagonales 12.5kg | HWM®,current_active,high_revenue_current_active,42.31,38625668.000000,774,4,11,15
1607,Par Calleras Essentials 3 Orificios Rosado/Negro | HWM®,current_active,coverage_cuerda,41.73,3467016.500000,350,14,6,14
227,Par Mancuernas Hexagonales 7.5kg | HWM®,current_active,coverage_mancuerna,41.05,34103856.000000,1100,4,11,16
