axis,tag,totalProducts,activeProducts,inactiveProducts,historicalProducts,explicitCount,inferredCount,ambiguousCount,decision
PRODUCT_FAMILY,BAND_SUSPENSION,24,20,4,0,23,1,0,KEEP
PRODUCT_FAMILY,BODYWEIGHT_GYMNASTICS,66,38,8,20,57,9,0,KEEP
PRODUCT_FAMILY,PROTECTIVE_GEAR,144,103,24,17,123,21,0,KEEP
PRODUCT_FAMILY,BARBELL,133,70,24,39,130,3,0,KEEP
PRODUCT_FAMILY,RECOVERY_TOOL,22,17,3,2,18,4,0,KEEP
PRODUCT_FAMILY,BENCH,144,64,35,45,142,2,0,KEEP
PRODUCT_FAMILY,YOGA_PILATES,17,9,7,1,17,0,0,KEEP
PRODUCT_FAMILY,CARDIO_MACHINE,73,33,18,22,65,8,0,KEEP
PRODUCT_FAMILY,BALL_BAG,86,50,8,28,81,5,0,KEEP
PRODUCT_FAMILY,ROPE_SLED,22,13,2,7,16,6,0,KEEP
PRODUCT_FAMILY,OTHER,347,68,210,69,0,0,0,"KEEP (residual, not a tag)"
PRODUCT_FAMILY,MACHINE_ATTACHMENT,32,27,2,3,11,21,0,KEEP
PRODUCT_FAMILY,WEIGHT_PLATE,258,93,83,82,240,18,0,KEEP
PRODUCT_FAMILY,FLOORING,62,24,6,32,60,2,0,KEEP
PRODUCT_FAMILY,CABLE_MACHINE,67,35,24,8,59,8,0,KEEP
PRODUCT_FAMILY,RACK_CAGE,66,23,31,12,59,7,0,KEEP
PRODUCT_FAMILY,KETTLEBELL,44,29,10,5,41,3,0,KEEP
PRODUCT_FAMILY,DUMBBELL,207,80,72,55,204,3,0,KEEP
PRODUCT_FAMILY,SELECTORIZED_MACHINE,43,24,17,2,12,31,0,KEEP
PRODUCT_FAMILY,PLATE_LOADED_MACHINE,76,40,29,7,44,32,0,KEEP
PRODUCT_FAMILY,STORAGE,28,26,1,1,27,1,0,KEEP
PRODUCT_FAMILY,APPAREL,50,3,43,4,41,9,0,KEEP
DISCIPLINE,CALISTHENICS,67,39,8,20,1,66,0,KEEP
DISCIPLINE,POWERLIFTING,38,17,15,6,38,0,0,KEEP
DISCIPLINE,WEIGHTLIFTING,216,139,77,0,0,216,0,DROP
DISCIPLINE,YOGA_PILATES,17,9,7,1,17,0,0,KEEP
DISCIPLINE,CARDIO_ENDURANCE,73,33,18,22,0,73,0,KEEP
DISCIPLINE,HYROX,27,27,0,0,27,0,0,KEEP
DISCIPLINE,CROSSFIT,19,0,18,1,19,0,0,KEEP (evidence precise; note: 0 active products carry it)
DISCIPLINE,REHABILITATION,4,4,0,0,0,4,0,KEEP
DISCIPLINE,BOXING_MMA,13,13,0,0,13,0,0,KEEP
USE_CONTEXT,HOME_GYM,92,76,11,5,84,8,0,KEEP
USE_CONTEXT,SMALL_SPACE,30,17,6,7,30,0,0,KEEP (needs non-product SKU exclusion guard)
USE_CONTEXT,COMMERCIAL_GYM,206,131,73,2,206,0,0,KEEP
USE_CONTEXT,SEMI_COMMERCIAL_STUDIO,13,11,2,0,13,0,0,KEEP
USE_CONTEXT,OUTDOOR_HIGH_TRAFFIC,3,3,0,0,3,0,0,KEEP
USE_CONTEXT,CLINICAL_RECOVERY,4,4,0,0,0,4,0,KEEP
