productId,productName,catalogPresence,primaryProductFamily,secondaryProductFamilies,disciplines,useContexts,classificationEvidence,evidenceStrength,sourceProblems,ontologyProblems,reviewNotes
176,Crossover Lat Pulldown ZR Series | PROmachine,current_catalog,CABLE_MACHINE,,,HOME_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:HOME_GYM(EXPLICIT),EXPLICIT,,,
1427,Polea de Muro 1.0 ZR Series | PROmachine,current_catalog,CABLE_MACHINE,,,HOME_GYM:EXPLICIT;SMALL_SPACE:EXPLICIT,"family:name | feature:Clasificación de Uso | useContext:HOME_GYM(EXPLICIT),SMALL_SPACE(EXPLICIT)",EXPLICIT,,,
29,Barra Olímpica 15kg 220cm Eco Serie | PROmachine,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
252,Power Rack Hell Series | HWM®,current_catalog,RACK_CAGE,,,,family:name,EXPLICIT,,,
679,Bicicleta de Spinning SP9 | Obelix,current_catalog,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED) | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
319,Palmeta de Caucho 100x100cm 15mm (Unidad),current_catalog,FLOORING,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
32,Barra Olímpica 20kg Training | HWM®,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
534,Polea de Muro 2.0 ZR Series | PROmachine,current_catalog,CABLE_MACHINE,,,HOME_GYM:EXPLICIT;SMALL_SPACE:EXPLICIT,"family:name | feature:Clasificación de Uso | useContext:HOME_GYM(EXPLICIT),SMALL_SPACE(EXPLICIT)",EXPLICIT,,,
1237,Trotadora Comercial S1 Series LED | Obelix®,current_catalog,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED) | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
723,Pack 10 Palmetas de Caucho 100x100cm 15mm,current_catalog,FLOORING,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,"Sold as multi-unit pack/set; not treated as a separate PRODUCT_FAMILY (PACK_SET dropped, see ontology decision)"
33,Barra Olímpica 15kg Training | HWM®,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
638,Banco Regulable Amarillo Flúor | KONG,current_catalog,BENCH,,,,family:name,EXPLICIT,,,
212,Banco Regulable Hell | HWM,current_catalog,BENCH,,,HOME_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:HOME_GYM(EXPLICIT),EXPLICIT,,,
1543,Power Rack Alpha | HWM®,current_catalog,RACK_CAGE,,,SEMI_COMMERCIAL_STUDIO:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:SEMI_COMMERCIAL_STUDIO(EXPLICIT),EXPLICIT,,,
1504,Dual Cuádriceps / Femoral Sentado MO 2.0 | Obelix®,current_catalog,SELECTORIZED_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
31,Barra Olímpica 20kg Classic Serie | PROmachine,current_catalog,BARBELL,,WEIGHTLIFTING:STRONGLY_INFERRED,,family:name | feature:Categoría | discipline:WEIGHTLIFTING(STRONGLY_INFERRED),EXPLICIT,,,
1273,Prensa Inclinada 45° Lineal MO 2.0 | Obelix®,current_catalog,PLATE_LOADED_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
1505,Dual Abductor / Aductor MO 2.0 | Obelix®,current_catalog,SELECTORIZED_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
1238,Trotadora Comercial S1 Series TFT Touch | Obelix®,current_catalog,CARDIO_MACHINE,,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,family:name | feature:Clasificación de Uso | discipline:CARDIO_ENDURANCE(STRONGLY_INFERRED) | useContext:COMMERCIAL_GYM(EXPLICIT),EXPLICIT,,,
